method,payload_mb,chunk_kb,trials,min_ms,max_ms,mean_ms,median_ms,mean_throughput_mbps,median_throughput_mbps,mean_user_cpu_ms,mean_system_cpu_ms,mean_voluntary_ctx_switches,mean_involuntary_ctx_switches,is_best_for_method
PIPE,1,1,3,0.548035,0.629490,0.582778,0.570809,1721.729348,1751.899522,0.764333,0.000000,3.00,0.00,0
FIFO,1,1,3,0.545983,0.560753,0.554116,0.555613,1804.896388,1799.813911,0.047667,0.678333,3.00,0.00,0
SOCKET,1,1,3,0.676818,3.888629,1.963597,1.325345,829.727549,754.520524,0.372000,2.195000,14.33,0.00,0
SHM,1,1,3,12.760001,28.968007,23.249895,28.021677,49.525800,35.686658,0.000000,19.165000,1538.33,0.00,0
PIPE,1,4,3,0.267811,0.311828,0.291377,0.294491,3445.520691,3395.689420,0.000000,0.357000,2.33,0.00,1
FIFO,1,4,3,0.263679,0.290066,0.276735,0.276459,3619.051308,3617.172779,0.054333,0.354333,3.00,0.00,1
SOCKET,1,4,3,0.344088,0.522610,0.407297,0.355194,2545.022967,2815.362853,0.271667,0.436667,5.33,0.00,1
SHM,1,4,3,7.100670,9.532660,7.968611,7.272502,127.746185,137.504259,0.905000,5.458000,498.67,0.00,0
PIPE,1,16,3,0.317827,0.539638,0.449450,0.490886,2345.530897,2037.132846,0.566000,0.009667,2.00,0.00,0
FIFO,1,16,3,0.361197,0.775180,0.548300,0.508523,2008.358184,1966.479384,0.701667,0.023333,3.00,0.00,0
SOCKET,1,16,3,0.298465,0.786411,0.545147,0.550565,2146.130760,1816.315952,0.137333,0.714333,11.00,0.00,0
SHM,1,16,3,1.828981,1.999182,1.917930,1.925627,522.089498,519.311374,1.808333,0.000000,116.00,0.00,0
PIPE,1,64,3,0.295023,0.557602,0.399286,0.345232,2693.187643,2896.602781,0.150333,0.331667,5.33,0.00,0
FIFO,1,64,3,0.634139,0.738079,0.702228,0.734467,1431.113804,1361.531560,0.292667,0.525000,33.33,0.00,0
SOCKET,1,64,3,0.706397,2.988625,1.476082,0.733225,1038.024817,1363.837862,0.077667,2.385000,15.33,0.00,0
SHM,1,64,3,0.559673,0.585428,0.568344,0.559932,1760.280248,1785.931122,0.262667,0.369667,31.67,0.00,0
PIPE,1,256,3,0.705388,0.851928,0.779202,0.780289,1291.014695,1281.576451,0.517333,0.487000,31.33,0.00,0
FIFO,1,256,3,0.658933,1.105393,0.891729,0.910861,1173.374322,1097.862352,0.375667,0.749333,32.00,0.00,0
SOCKET,1,256,3,0.380269,1.300819,0.773842,0.640437,1653.299207,1561.433817,0.664333,1.365000,10.33,0.00,0
SHM,1,256,3,0.253629,0.463972,0.353699,0.343495,3003.106570,2911.250432,0.169667,0.403333,8.00,0.00,1
PIPE,1,1024,3,0.720995,1.207991,0.937529,0.883601,1115.508476,1131.732542,0.873000,0.775667,31.33,0.00,0
FIFO,1,1024,3,1.039188,1.757979,1.300777,1.105165,811.989014,904.842259,1.400333,1.151333,28.67,0.00,0
SOCKET,1,1024,3,0.468548,0.809261,0.611314,0.556133,1722.693121,1798.131016,0.481000,2.214000,15.67,0.33,0
SHM,1,1024,3,0.431996,0.867394,0.585739,0.457827,1883.982003,2184.231153,0.085667,0.788333,2.00,0.00,0
