trial,execution_order,mode,producer_cpu,consumer_cpu,elapsed_ms,throughput_mbps,user_ms,system_ms,voluntary_ctx_switches,involuntary_ctx_switches
1,1,UNPINNED,-1,-1,5.791178,17267.643983,1.450000,5.056000,373,0
1,2,SAME-CPU,0,0,4.844916,20640.192726,4.059000,1.122000,1578,1568
1,3,SEPARATE-CPU,0,2,5.571114,17949.731406,2.006000,4.452000,390,0
2,1,SAME-CPU,0,0,5.485582,18229.606286,1.919000,3.952000,1577,1568
2,2,SEPARATE-CPU,0,2,5.780087,17300.777670,1.772000,5.444000,434,0
2,3,UNPINNED,-1,-1,6.125991,16323.889469,2.832000,4.079000,396,0
3,1,SEPARATE-CPU,0,2,7.252378,13788.580790,1.267000,6.609000,402,0
3,2,UNPINNED,-1,-1,6.171157,16204.416767,1.753000,5.066000,377,0
3,3,SAME-CPU,0,0,4.683896,21349.748135,0.638000,4.322000,1553,1536
4,1,UNPINNED,-1,-1,6.662852,15008.587905,1.744000,5.517000,391,0
4,2,SAME-CPU,0,0,4.815984,20764.188603,4.345000,0.819000,1541,1520
4,3,SEPARATE-CPU,0,2,7.466864,13392.503216,4.640000,4.965000,410,0
5,1,SAME-CPU,0,0,4.825617,20722.738665,5.134000,0.000000,1583,1576
5,2,SEPARATE-CPU,0,2,8.890705,11247.701948,3.816000,5.634000,461,0
5,3,UNPINNED,-1,-1,6.465701,15466.227098,1.531000,5.627000,358,0
