"section","metric","value","unit","note"
"Baseline IPC Comparison","PIPE median latency","44.293126","ms",""
"Baseline IPC Comparison","PIPE median throughput","2257.686667","MB/s",""
"Baseline IPC Comparison","FIFO median latency","49.855335","ms",""
"Baseline IPC Comparison","FIFO median throughput","2005.803391","MB/s",""
"Baseline IPC Comparison","SOCKET median latency","9.895822","ms","lowest baseline latency"
"Baseline IPC Comparison","SOCKET median throughput","10105.274731","MB/s",""
"Baseline IPC Comparison","SHM median latency","53.883599","ms",""
"Baseline IPC Comparison","SHM median throughput","1855.852279","MB/s",""
"Baseline IPC Comparison","Baseline latency winner","SOCKET","","100 MB, 64 KB baseline experiment"
"Chunk-Size Optimization","PIPE best chunk","16","KB",""
"Chunk-Size Optimization","PIPE latency improvement","55.680507","%",""
"Chunk-Size Optimization","PIPE throughput improvement","125.634351","%",""
"Chunk-Size Optimization","FIFO best chunk","16","KB",""
"Chunk-Size Optimization","FIFO latency improvement","43.523816","%",""
"Chunk-Size Optimization","FIFO throughput improvement","77.065787","%",""
"Chunk-Size Optimization","SOCKET best chunk","256","KB",""
"Chunk-Size Optimization","SOCKET latency improvement","8.105553","%",""
"Chunk-Size Optimization","SOCKET throughput improvement","8.820503","%",""
"Chunk-Size Optimization","SHM best chunk","1024","KB",""
"Chunk-Size Optimization","SHM latency improvement","82.833448","%",""
"Chunk-Size Optimization","SHM throughput improvement","482.528146","%",""
"SHM Synchronization Optimization","Baseline median latency","45.752234","ms",""
"SHM Synchronization Optimization","SHM-RING median latency","5.635034","ms",""
"SHM Synchronization Optimization","Latency reduction","87.683587","%",""
"SHM Synchronization Optimization","Throughput improvement","723.734577","%",""
"SHM Synchronization Optimization","System CPU reduction","95.074303","%",""
"SHM Synchronization Optimization","Voluntary context-switch reduction","88.686983","%",""
"System-Call Reduction","total_syscalls","3299 -> 2589","","21.521673% reduction"
"System-Call Reduction","total_errors","1559 -> 295","","81.077614% reduction"
"System-Call Reduction","futex_calls","3238 -> 2528","","21.927116% reduction"
"System-Call Reduction","futex_errors","1558 -> 294","","81.129653% reduction"
"Adaptive Workload Selection","1 MB workload","FIFO / 4 KB","","SMALL, median 0.276459 ms, 3617.172779 MB/s"
"Adaptive Workload Selection","10 MB workload","SHM-RING / 64 KB","","MEDIUM, median 0.892797 ms, 10956.601833 MB/s"
"Adaptive Workload Selection","100 MB workload","SHM-RING / 64 KB","","LARGE, median 5.609124 ms, 17515.551116 MB/s"
"Adaptive Workload Selection","500 MB workload","SHM-RING / 64 KB","","VERY-LARGE, median 31.428255 ms, 16019.300925 MB/s"
"Data Integrity","FIFO 10 MB / 64 KB","PASS","","sent=10485760 received=10485760 checksum=0xeb0d3fb8b7e22325"
"Data Integrity","PIPE 10 MB / 64 KB","PASS","","sent=10485760 received=10485760 checksum=0xeb0d3fb8b7e22325"
"Data Integrity","SHM-RING 100 MB / 64 KB","PASS","","sent=104857600 received=104857600 checksum=0x4db2d92e89a22325"
"Data Integrity","SHM-RING 10 MB / 64 KB","PASS","","sent=10485760 received=10485760 checksum=0xeb0d3fb8b7e22325"
"Data Integrity","SHM 10 MB / 64 KB","PASS","","sent=10485760 received=10485760 checksum=0xeb0d3fb8b7e22325"
"Data Integrity","SOCKET 10 MB / 64 KB","PASS","","sent=10485760 received=10485760 checksum=0xeb0d3fb8b7e22325"
"Data Integrity","Verification passes","6/6","","all recorded integrity tests passed"
"SHM Ring Slot Sweep","Controlled sweep candidate","16","slots","microbenchmark candidate only"
"SHM Ring Slot Sweep","Candidate median latency","3.849173","ms",""
"SHM Ring Slot Sweep","Candidate median throughput","25979.606528","MB/s",""
"SHM Ring Slot Sweep","Interpretation","CONTROLLED MICROBENCHMARK","","do not equate slot-sweep selection with automatic production adoption"
"CPU Affinity / Scheduler Analysis","Best measured mode","SAME-CPU","","experimental candidate"
"CPU Affinity / Scheduler Analysis","Selected median latency","4.825617","ms",""
"CPU Affinity / Scheduler Analysis","Selected median throughput","20722.738665","MB/s",""
"CPU Affinity / Scheduler Analysis","Latency reduction vs unpinned","21.803691","%",""
