trial,execution_order,mode,setup_ms,timed_ms,total_ms,throughput_mbps,setup_user_ms,setup_system_ms,timed_user_ms,timed_system_ms,setup_minor_faults,setup_major_faults,timed_minor_faults,timed_major_faults,timed_voluntary_ctx_switches,timed_involuntary_ctx_switches
1,1,DEMAND,0.000110,66.132956,66.133066,1512.105402,0.001000,0.000000,10.871000,55.265000,0,0,25600,0,0,0
1,2,PREFAULT,43.208768,7.683907,50.892675,13014.212688,3.865000,39.309000,7.687000,0.000000,25600,0,0,0,0,0
1,3,MADVISE-WILLNEED,0.002481,41.614158,41.616639,2403.028315,0.001000,0.003000,3.574000,37.979000,0,0,25600,0,0,1
2,1,PREFAULT,42.656049,9.546173,52.202222,10475.402021,0.000000,42.614000,8.025000,1.525000,25600,0,0,0,0,0
2,2,MADVISE-WILLNEED,0.003345,43.836467,43.839812,2281.205737,0.000000,0.005000,7.631000,36.148000,0,0,25600,0,0,1
2,3,DEMAND,0.000108,51.661635,51.661743,1935.672380,0.000000,0.001000,11.920000,39.635000,0,0,25600,0,0,3
3,1,MADVISE-WILLNEED,0.003027,52.984750,52.987777,1887.335507,0.001000,0.005000,4.143000,48.780000,0,0,25600,0,0,1
3,2,DEMAND,0.000120,50.485352,50.485472,1980.772561,0.000000,0.002000,3.691000,46.722000,0,0,25600,0,0,2
3,3,PREFAULT,36.420788,8.134950,44.555738,12292.638535,3.947000,32.413000,7.993000,0.145000,25600,0,0,0,0,0
4,1,DEMAND,0.000106,41.868230,41.868336,2388.445846,0.000000,0.001000,3.685000,38.110000,0,0,25600,0,0,3
4,2,PREFAULT,46.246111,9.150168,55.396279,10928.761087,3.751000,42.419000,8.146000,1.011000,25600,0,0,0,0,0
4,3,MADVISE-WILLNEED,0.003106,55.997330,56.000436,1785.799431,0.000000,0.005000,7.949000,47.951000,0,0,25600,0,0,1
5,1,PREFAULT,55.581659,9.912917,65.494576,10087.847989,3.933000,51.537000,8.267000,1.651000,25600,0,0,0,0,0
5,2,MADVISE-WILLNEED,0.003126,44.103775,44.106901,2267.379605,0.001000,0.005000,4.007000,40.052000,0,0,25600,0,0,2
5,3,DEMAND,0.000113,47.527998,47.528111,2104.022980,0.000000,0.001000,7.658000,39.675000,0,0,25600,0,0,8
