slot_count,trial,elapsed_ms,throughput_mbps,system_cpu_ms,voluntary_ctx_switches
1,1,54.911893,1821.099120,42.926000,3109.00
1,2,52.417999,1907.741652,34.921000,3162.00
1,3,51.033178,1959.509557,33.421000,3176.00
1,4,54.029948,1850.825398,35.826000,3139.00
1,5,53.309714,1875.830735,38.784000,3141.00
2,1,27.583796,3625.316835,16.813000,1600.00
2,2,29.928851,3341.257571,19.543000,1594.00
2,3,28.590941,3497.611359,21.356000,1595.00
2,4,28.793047,3473.060701,12.314000,1594.00
2,5,31.933282,3131.529042,22.091000,1581.00
4,1,5.366868,18632.841352,4.285000,188.00
4,2,9.480036,10548.483149,1.321000,258.00
4,3,8.021387,12466.671911,0.000000,217.00
4,4,5.192696,19257.819060,0.238000,167.00
4,5,7.592477,13170.932227,3.561000,223.00
8,1,8.282571,12073.545763,4.936000,187.00
8,2,9.052118,11047.138360,6.441000,186.00
8,3,6.517289,15343.803229,0.535000,157.00
8,4,4.164167,24014.406723,3.457000,149.00
8,5,5.052583,19791.856957,0.000000,139.00
16,1,3.849173,25979.606528,0.000000,10.00
16,2,3.712884,26933.241114,0.000000,11.00
16,3,4.470346,22369.633134,0.000000,22.00
16,4,4.939137,20246.451961,0.682000,33.00
16,5,3.730444,26806.460571,0.000000,5.00
32,1,3.655192,27358.343967,0.000000,2.00
32,2,4.015515,24903.405914,0.000000,9.00
32,3,4.059965,24630.754206,0.404000,8.00
32,4,3.984369,25098.077010,0.000000,6.00
32,5,3.656046,27351.953449,0.000000,3.00
