syscall,calls,errors,time_percent,seconds
wait4,1,0,55.4400,0.005202
read,161,0,44.1100,0.004139
brk,7,0,0.2500,0.000023
close,6,0,0.2000,0.000019
write,167,0,0.0000,0.000000
fstat,3,0,0.0000,0.000000
mmap,8,0,0.0000,0.000000
mprotect,3,0,0.0000,0.000000
munmap,1,0,0.0000,0.000000
rt_sigprocmask,3,0,0.0000,0.000000
pread64,2,0,0.0000,0.000000
access,1,1,0.0000,0.000000
clone,1,0,0.0000,0.000000
execve,1,0,0.0000,0.000000
getrusage,2,0,0.0000,0.000000
arch_prctl,1,0,0.0000,0.000000
set_tid_address,1,0,0.0000,0.000000
openat,2,0,0.0000,0.000000
set_robust_list,2,0,0.0000,0.000000
pipe2,1,0,0.0000,0.000000
prlimit64,1,0,0.0000,0.000000
getrandom,1,0,0.0000,0.000000
rseq,1,0,0.0000,0.000000
TOTAL,377,1,100.0000,0.000000
