syscall,calls,errors,time_percent,seconds
futex,2528,294,68.5200,0.013648
wait4,1,0,29.7000,0.005916
write,7,0,0.7200,0.000144
munmap,3,0,0.3200,0.000063
close,4,0,0.2700,0.000053
brk,7,0,0.1900,0.000037
unlink,1,0,0.1200,0.000024
getrusage,2,0,0.1100,0.000021
fstat,3,0,0.0600,0.000011
read,1,0,0.0000,0.000000
mmap,9,0,0.0000,0.000000
mprotect,3,0,0.0000,0.000000
rt_sigprocmask,3,0,0.0000,0.000000
pread64,2,0,0.0000,0.000000
access,1,1,0.0000,0.000000
getpid,1,0,0.0000,0.000000
clone,1,0,0.0000,0.000000
execve,1,0,0.0000,0.000000
ftruncate,1,0,0.0000,0.000000
arch_prctl,1,0,0.0000,0.000000
set_tid_address,1,0,0.0000,0.000000
openat,3,0,0.0000,0.000000
set_robust_list,2,0,0.0000,0.000000
prlimit64,1,0,0.0000,0.000000
getrandom,1,0,0.0000,0.000000
rseq,1,0,0.0000,0.000000
TOTAL,2589,295,100.0000,0.000000
