% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 68.52    0.013648           5      2528       294 futex
 29.70    0.005916        5916         1           wait4
  0.72    0.000144          20         7           write
  0.32    0.000063          21         3           munmap
  0.27    0.000053          13         4           close
  0.19    0.000037           5         7           brk
  0.12    0.000024          24         1           unlink
  0.11    0.000021          10         2           getrusage
  0.06    0.000011           3         3           fstat
  0.00    0.000000           0         1           read
  0.00    0.000000           0         9           mmap
  0.00    0.000000           0         3           mprotect
  0.00    0.000000           0         3           rt_sigprocmask
  0.00    0.000000           0         2           pread64
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           getpid
  0.00    0.000000           0         1           clone
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           ftruncate
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         3           openat
  0.00    0.000000           0         2           set_robust_list
  0.00    0.000000           0         1           prlimit64
  0.00    0.000000           0         1           getrandom
  0.00    0.000000           0         1           rseq
------ ----------- ----------- --------- --------- ----------------
100.00    0.019917           7      2589       295 total
