syscall,calls,errors,time_percent,seconds
futex,3238,1558,54.8700,0.007666
wait4,1,0,41.6800,0.005822
clone,1,0,1.1800,0.000165
write,7,0,1.1200,0.000157
munmap,3,0,0.3400,0.000047
brk,7,0,0.2600,0.000037
close,4,0,0.1800,0.000025
unlink,1,0,0.1400,0.000020
getrusage,2,0,0.1400,0.000020
fstat,3,0,0.0800,0.000011
read,1,0,0.0000,0.000000
mmap,9,0,0.0000,0.000000
mprotect,3,0,0.0000,0.000000
rt_sigprocmask,3,0,0.0000,0.000000
pread64,2,0,0.0000,0.000000
access,1,1,0.0000,0.000000
getpid,1,0,0.0000,0.000000
execve,1,0,0.0000,0.000000
ftruncate,1,0,0.0000,0.000000
arch_prctl,1,0,0.0000,0.000000
set_tid_address,1,0,0.0000,0.000000
openat,3,0,0.0000,0.000000
set_robust_list,2,0,0.0000,0.000000
prlimit64,1,0,0.0000,0.000000
getrandom,1,0,0.0000,0.000000
rseq,1,0,0.0000,0.000000
TOTAL,3299,1559,100.0000,0.000000
