% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 54.87    0.007666           2      3238      1558 futex
 41.68    0.005822        5822         1           wait4
  1.18    0.000165         165         1           clone
  1.12    0.000157          22         7           write
  0.34    0.000047          15         3           munmap
  0.26    0.000037           5         7           brk
  0.18    0.000025           6         4           close
  0.14    0.000020          20         1           unlink
  0.14    0.000020          10         2           getrusage
  0.08    0.000011           3         3           fstat
  0.00    0.000000           0         1           read
  0.00    0.000000           0         9           mmap
  0.00    0.000000           0         3           mprotect
  0.00    0.000000           0         3           rt_sigprocmask
  0.00    0.000000           0         2           pread64
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           getpid
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           ftruncate
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         3           openat
  0.00    0.000000           0         2           set_robust_list
  0.00    0.000000           0         1           prlimit64
  0.00    0.000000           0         1           getrandom
  0.00    0.000000           0         1           rseq
------ ----------- ----------- --------- --------- ----------------
100.00    0.013970           4      3299      1559 total
